Group	Tissues	NGENES	BETA	BETA_STD	SE	P
B-ALL&AOA	Spleen	16710	0.028365	0.055946	0.0075424	8.50E-05
B-ALL&AOA	Lung	16710	0.029455	0.056659	0.0094319	0.00089711
B-ALL&AOA	Small Intestine Terminal Ileum	16710	0.023347	0.042686	0.0098455	0.0088678
B-ALL&AOA	Testis	16710	0.013246	0.022749	0.0057027	0.010102
B-ALL&AOA	Whole Blood	16710	0.011342	0.020369	0.0057458	0.024199
B-ALL&AOA	Cells EBV-transformed lymphocytes	16710	0.0096068	0.020914	0.0049978	0.027301
B-ALL&AOA	Nerve Tibial	16710	0.017552	0.035148	0.010199	0.042631
B-ALL&AOA	Fallopian Tube	16710	0.020186	0.038953	0.012112	0.047805
B-ALL&HT	Spleen	16771	0.033958	0.067003	0.0075348	3.32E-06
B-ALL&HT	Whole Blood	16771	0.020025	0.035982	0.0057464	0.00024687
B-ALL&HT	Cells EBV-transformed lymphocytes	16771	0.017054	0.037126	0.0050023	0.00032652
B-ALL&HT	Small Intestine Terminal Ileum	16771	0.027162	0.049678	0.0098546	0.0029261
B-ALL&HT	Lung	16771	0.024271	0.046704	0.0094372	0.0050624
B-ALL&HT	Thyroid	16771	0.022924	0.045176	0.009883	0.010191
B-ALL&HT	Testis	16771	0.013215	0.022703	0.0057206	0.010449
B-ALL&PBC	Spleen	15401	0.036424	0.071284	0.0081618	4.08E-06
B-ALL&PBC	Lung	15401	0.041237	0.07861	0.010356	3.43E-05
B-ALL&PBC	Small Intestine Terminal Ileum	15401	0.040427	0.073173	0.010722	8.18E-05
B-ALL&PBC	Thyroid	15401	0.031455	0.061447	0.010719	0.0016725
B-ALL&PBC	Fallopian Tube	15401	0.035804	0.068524	0.013362	0.0036909
B-ALL&PBC	Adipose Subcutaneous	15401	0.029094	0.057411	0.011859	0.0070856
B-ALL&PBC	Adipose Visceral Omentum	15401	0.026839	0.051519	0.012299	0.014554
B-ALL&PBC	Whole Blood	15401	0.013127	0.023387	0.0062657	0.018095
B-ALL&PBC	Kidney Medulla	15401	0.020249	0.036867	0.010202	0.023588
B-ALL&PBC	Nerve Tibial	15401	0.020274	0.040245	0.011046	0.033227
B-ALL&PBC	Cervix Endocervix	15401	0.022762	0.044412	0.012925	0.039125
B-ALL&PBC	Testis	15401	0.010741	0.01825	0.0062134	0.041942
B-ALL&PBC	Cells EBV-transformed lymphocytes	15401	0.0088604	0.019241	0.0053731	0.049581
B-ALL&IBD	Spleen	16649	0.038078	0.075058	0.0077082	3.95E-07
B-ALL&IBD	Lung	16649	0.043457	0.083523	0.009707	3.81E-06
B-ALL&IBD	Whole Blood	16649	0.025224	0.045292	0.0058751	8.85E-06
B-ALL&IBD	Small Intestine Terminal Ileum	16649	0.042078	0.076859	0.010091	1.53E-05
B-ALL&IBD	Cells EBV-transformed lymphocytes	16649	0.013689	0.029789	0.0051192	0.0037504
B-ALL&IBD	Adipose Visceral Omentum	16649	0.023171	0.044761	0.011634	0.023215
B-ALL&IBD	Thyroid	16649	0.01952	0.03842	0.01013	0.026998
B-ALL&CD	Spleen	16648	0.037547	0.074014	0.0076704	4.96E-07
B-ALL&CD	Lung	16648	0.044018	0.0846	0.0096615	2.63E-06
B-ALL&CD	Small Intestine Terminal Ileum	16648	0.043323	0.079137	0.010044	8.09E-06
B-ALL&CD	Whole Blood	16648	0.023635	0.042438	0.0058435	2.63E-05
B-ALL&CD	Cells EBV-transformed lymphocytes	16648	0.014159	0.030812	0.005091	0.0027113
B-ALL&CD	Thyroid	16648	0.02442	0.048064	0.010071	0.0076638
B-ALL&CD	Fallopian Tube	16648	0.026965	0.051984	0.012429	0.015029
B-ALL&CD	Adipose Subcutaneous	16648	0.021996	0.043654	0.011211	0.024889
B-ALL&CD	Adipose Visceral Omentum	16648	0.022398	0.043269	0.011565	0.026404
B-ALL&RA	Spleen	16763	0.034232	0.067538	0.0074985	2.52E-06
B-ALL&RA	Lung	16763	0.033226	0.063935	0.0093964	0.00020366
B-ALL&RA	Small Intestine Terminal Ileum	16763	0.032974	0.060303	0.0098007	0.00038449
B-ALL&RA	Cells EBV-transformed lymphocytes	16763	0.015521	0.033789	0.0049504	0.00085999
B-ALL&RA	Whole Blood	16763	0.017717	0.031829	0.0057225	0.00098264
B-ALL&RA	Thyroid	16763	0.01819	0.035844	0.0098298	0.032132
B-ALL&MS	Spleen	16680	0.037526	0.073985	0.0077025	5.58E-07
B-ALL&MS	Lung	16680	0.037399	0.071906	0.0096723	5.54E-05
B-ALL&MS	Cells EBV-transformed lymphocytes	16680	0.019236	0.041862	0.0051403	9.15E-05
B-ALL&MS	Small Intestine Terminal Ileum	16680	0.030464	0.05567	0.010097	0.0012777
B-ALL&MS	Whole Blood	16680	0.016253	0.029177	0.0058912	0.002903
B-ALL&MS	Nerve Tibial	16680	0.023725	0.047484	0.010471	0.01174
